date,ts_code,close,open,high,low,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2023-03-01,000300.SH,4126.9415,4068.7331,4135.4812,4061.2167,4069.4587,57.4828,1.4125,156015794.0,255374791.016,0.014125416729256823,0.014026582657949621,4080.98732,4107.37392,,0.1599851700906256
2023-03-02,000300.SH,4117.7377,4119.9919,4137.2525,4113.8264,4126.9415,-9.2038,-0.223,148217637.0,235953764.97,-0.002230174573591648,-0.0022326651164919576,4083.8055999999997,4104.20334,,0.15975680879490015
2023-03-03,000300.SH,4130.5513,4126.0183,4135.2116,4100.3827,4117.7377,12.8136,0.3112,160331741.0,226914545.628,0.00311180578597825,0.0031069741391894392,4097.70672,4103.64931,,0.15684332136939522
2023-03-06,000300.SH,4109.0102,4131.1525,4132.8367,4088.4484,4130.5513,-21.5411,-0.5215,162971807.0,283079861.972,-0.005215066569927429,-0.00522871249319971,4110.739879999999,4104.755925,,0.1503947109576035
2023-03-07,000300.SH,4048.8519,4103.6419,4124.9609,4046.5679,4109.0102,-60.1583,-1.4641,195912068.0,272491994.009,-0.014640581812135567,-0.014748812805500063,4106.61852,4102.486845,,0.15929704716319534
2023-03-08,000300.SH,4034.1077,4030.7387,4037.287,4011.5231,4048.8519,-14.7442,-0.3642,117936493.0,191659655.191,-0.003641575529102492,-0.00364822220642755,4088.0517600000007,4100.385175,,0.159067731831234
2023-03-09,000300.SH,4019.8505,4035.8433,4043.8493,4000.8901,4034.1077,-14.2572,-0.3534,116539629.0,201737990.687,-0.0035341644448412257,-0.003540424357395067,4068.47432,4094.8348749999996,,0.1505853863759408
2023-03-10,000300.SH,3967.1352,3991.7959,4004.3612,3966.428,4019.8505,-52.7153,-1.3114,123855409.0,218286956.131,-0.013113746394299963,-0.01320049076358043,4035.7911,4087.87615,,0.15557492817419818
2023-03-13,000300.SH,4008.686,3962.6426,4008.686,3962.6426,3967.1352,41.5508,1.0474,143561370.0,242865516.758,0.010473754461405749,0.010419284700296166,4015.7262600000004,4081.1317499999996,,0.15693051502870276
2023-03-14,000300.SH,3984.6956,3999.8803,4001.9415,3946.9405,4008.686,-23.9904,-0.5985,150544174.0,267224848.811,-0.005984604431477081,-0.006002583945988547,4002.8950000000004,4073.10202,,0.15748012417300744
2023-03-15,000300.SH,3986.902,4011.8444,4018.7495,3986.902,3984.6956,2.2064,0.0554,142026007.0,232101093.979,0.0005537185826691715,0.0005535653371021109,3993.45386,4066.262655,,0.15721499880639936
2023-03-16,000300.SH,3939.1505,3958.1962,3981.321,3936.4758,3986.902,-47.7515,-1.1977,152515644.0,246264286.428,-0.01197709399428426,-0.012049397286707548,3977.3138599999997,4058.5458,,0.16028437328275247
2023-03-17,000300.SH,3958.8194,3971.1585,4004.2153,3945.2501,3939.1505,19.6689,0.4993,177433818.0,305541015.556,0.004993183174900162,0.004980758577487929,3975.6506999999997,4054.7614200000003,,0.1548607842024749
2023-03-20,000300.SH,3939.077,3962.6625,3979.5485,3935.0161,3958.8194,-19.7424,-0.4987,205264970.0,319760032.638,-0.004986941308815385,-0.004999417596918964,3961.7288999999996,4045.04079,,0.12265618940329999
2023-03-21,000300.SH,3982.3782,3948.1573,3982.7047,3948.1573,3939.077,43.3012,1.0993,145090679.0,251631985.017,0.010992727484128828,0.010932746623865211,3961.2654200000006,4036.94202,,0.13052493770036205
2023-03-22,000300.SH,3999.4427,3993.7849,4016.4495,3986.7093,3982.3782,17.0645,0.4285,149228970.0,265180992.104,0.004285002363662915,0.00427584788303179,3963.77356,4031.5666250000004,,0.1295154695126274
2023-03-23,000300.SH,4039.0895,3985.9928,4039.0895,3983.9986,3999.4427,39.6468,0.9913,158887421.0,296479529.467,0.009913081140029867,0.00986426887274393,3983.7613600000004,4028.338785,,0.1355015738103343
2023-03-24,000300.SH,4027.0457,4035.1564,4037.8417,4017.0028,4039.0895,-12.0438,-0.2982,159442330.0,295785588.943,-0.0029818106283606705,-0.002986265082769179,3997.40662,4026.638785,,0.13100267972308177
2023-03-27,000300.SH,4012.4771,4023.3028,4023.3028,3987.0297,4027.0457,-14.5686,-0.3618,168482279.0,315474696.948,-0.003617689265358992,-0.0036242489284966603,4012.08664,4025.07042,,0.13078011207160262
2023-03-28,000300.SH,3999.5147,4015.6973,4023.7834,3994.5999,4012.4771,-12.9624,-0.3231,131895117.0,248736920.972,-0.003230523110025918,-0.003235752515321773,4015.51394,4021.5732200000007,,0.1286797087490087
2023-03-29,000300.SH,4006.144,4013.5926,4017.7572,3992.6662,3999.5147,6.6293,0.1658,133743510.0,263866922.733,0.0016575260993538787,0.0016561539190427233,4016.8542,4015.5333450000007,,0.11648695993764951
2023-03-30,000300.SH,4038.5257,4009.5573,4040.5023,3983.8958,4006.144,32.3817,0.8083,149901037.0,280004715.991,0.00808300949741203,0.008050516950421808,4016.7414400000002,4011.5727450000004,,0.12123656986100835
2023-03-31,000300.SH,4050.9257,4045.4538,4063.5675,4039.9587,4038.5257,12.4,0.307,138842546.0,279863685.781,0.003070427408695009,0.0030657232731370397,4021.5174400000005,4007.591465,,0.1212183023569576
2023-04-03,000300.SH,4090.5676,4059.6227,4094.9376,4059.0607,4050.9257,39.6419,0.9786,182124313.0,382895558.426,0.009785886717201375,0.00973831503009619,4037.13554,4006.669335,4063.309,0.12581780236307102
2023-04-04,000300.SH,4103.1052,4089.2932,4103.1583,4080.0682,4090.5676,12.5376,0.3065,197146631.0,394443175.146,0.0030650025194547403,0.0030603149750138407,4057.85364,4009.382,4066.8957666666665,0.11399783218687283
2023-04-06,000300.SH,4096.64,4084.132,4098.8332,4078.4048,4103.1052,-6.4652,-0.1576,150703374.0,328981851.588,-0.0015756846790083712,-0.0015769273756824943,4075.9528400000004,4012.5086149999997,4070.2906383333334,0.11318964083052298
2023-04-07,000300.SH,4123.2799,4096.9009,4131.3126,4092.1848,4096.64,26.6399,0.6503,128676738.0,286567771.883,0.006502865763162058,0.006481813349653767,4092.9036800000003,4017.680085000001,4072.869,0.11370579871296356
2023-04-10,000300.SH,4104.8118,4132.0096,4132.2952,4099.0519,4123.2799,-18.4681,-0.4479,152453002.0,340822557.208,-0.0044789828602225246,-0.004489043556316856,4103.6809,4024.563915,4074.9343833333332,0.10280106974809701
2023-04-11,000300.SH,4100.1479,4108.5062,4116.1247,4083.4946,4104.8118,-4.6639,-0.1136,153901333.0,324192951.999,-0.0011362031262920347,-0.0011368490944111537,4105.596960000001,4029.13701,4076.384855,0.09784037622464745
2023-04-12,000300.SH,4097.2876,4102.3968,4108.2451,4090.2784,4100.1479,-2.8603,-0.0698,165965278.0,325425226.403,-0.0006976089813736097,-0.00069785242374403,4104.43344,4034.7666099999997,4077.7150866666666,0.09447126490664484
2023-04-13,000300.SH,4068.9786,4081.3871,4088.8809,4059.5744,4097.2876,-28.309,-0.6909,156444295.0,300291020.753,-0.0069092050067462996,-0.006933184078369438,4098.90116,4038.8704399999997,4078.697548333333,0.09897620651585902
2023-04-14,000300.SH,4091.9988,4078.9703,4098.2151,4075.2049,4068.9786,23.0202,0.5657,150695682.0,306201501.439,0.005657488589396742,0.005641545105945867,4092.6449399999997,4046.512855,4079.933041666666,0.08732973273872226
2023-04-17,000300.SH,4149.3836,4090.0719,4149.3836,4089.509,4091.9988,57.3848,1.4024,188773095.0,341831272.793,0.014023660026488916,0.013926238256229347,4101.5593,4056.041065,4081.183148333333,0.09690342504889744
2023-04-18,000300.SH,4162.032,4139.3088,4169.6678,4138.4618,4149.3836,12.6484,0.3048,170184130.0,331545662.316,0.0030482599873389304,0.0030436234626958596,4113.93612,4067.1888150000004,4081.584276666667,0.09292718228122547
2023-04-19,000300.SH,4124.5589,4159.3938,4159.3938,4118.6261,4162.032,-37.4731,-0.9004,162554592.0,312219504.523,-0.009003558838567405,-0.00904433581759568,4119.39038,4074.29785,4081.3728883333333,0.0965067055138049
2023-04-20,000300.SH,4113.0192,4122.9461,4125.8231,4094.0022,4124.5589,-11.5397,-0.2798,162706677.0,332172409.512,-0.002797802208619249,-0.0028017233726872733,4128.1985,4079.9766750000003,4081.0846366666665,0.09733287935560853
2023-04-21,000300.SH,4032.5672,4114.2642,4114.2642,4031.9123,4113.0192,-80.452,-1.956,180802435.0,347852011.603,-0.019560326876178924,-0.01975416188434926,4116.31218,4079.6505599999996,4079.0272950000003,0.11738039309445966
2023-04-24,000300.SH,3982.6429,4031.303,4033.6367,3967.907,4032.5672,-49.9243,-1.238,170099217.0,328375614.674,-0.01238027725861579,-0.012457551336495796,4082.96404,4077.4304199999997,4075.712565,0.12498344667556896
2023-04-25,000300.SH,3962.6658,3985.1055,3991.6868,3925.436,3982.6429,-19.9771,-0.5016,172555409.0,331110619.768,-0.005016040981228764,-0.005028663542673135,4043.0908000000004,4074.9398549999996,4071.7345783333335,0.12553975042010906
2023-04-26,000300.SH,3959.2323,3950.2553,3975.6562,3934.6625,3962.6658,-3.4335,-0.0866,162702006.0,322062811.334,-0.0008664621679678186,-0.0008668377632871743,4010.0254800000002,4072.925735,4068.4408200000003,0.12516129436451487
2023-04-27,000300.SH,3988.4185,3948.0313,3999.1302,3942.8152,3959.2323,29.1862,0.7372,153828195.0,304804002.557,0.007371681626258786,0.007344643577210908,3985.1053400000005,4072.03946,4064.9822416666666,0.12806330674389074
2023-04-28,000300.SH,4029.0858,3993.2561,4030.4469,3993.2561,3988.4185,40.6673,1.0196,179508488.0,328936294.025,0.010196347248915716,0.01014471517605962,3984.4090600000004,4071.567465,4062.44785,0.13007805603709086
2023-05-04,000300.SH,4030.2471,4013.4713,4035.7832,4001.1259,4029.0858,1.1613,0.0288,227582846.0,345492506.049,0.00028822915610282607,0.00028818762605953345,3993.9299,4070.533535,4060.591436666667,0.1295567652321746
2023-05-05,000300.SH,4016.8774,4031.0946,4047.6015,3998.392,4030.2471,-13.3697,-0.3317,206626924.0,307694489.937,-0.0033173400211615744,-0.0033228545927530486,4004.7722200000003,4066.8490250000004,4059.424761666667,0.12437451330412248
2023-05-08,000300.SH,4062.6624,4028.1056,4070.7724,4018.9608,4016.8774,45.785,1.1398,255583085.0,359539954.17,0.01139815718547954,0.011333687618858015,4025.45824,4064.826885,4058.898576666667,0.13120922732333012
2023-05-09,000300.SH,4027.8754,4065.439,4092.8501,4026.3886,4062.6624,-34.787,-0.8563,279306048.0,396422120.421,-0.00856261155246374,-0.008599481329350357,4033.34962,4061.388655,4058.094148333333,0.13430281529342536
2023-05-10,000300.SH,3996.8695,4017.9358,4019.0587,3984.6287,4027.8754,-31.0059,-0.7698,207552709.0,309484851.741,-0.007697829977560855,-0.0077276112030614744,4026.9063599999995,4055.068135,4055.861031666667,0.13350172961386847
2023-05-11,000300.SH,3990.6637,4005.7823,4018.0579,3988.4816,3996.8695,-6.2058,-0.1553,144804619.0,241052071.432,-0.0015526651545665349,-0.001553871788268113,4018.98968,4049.3607299999994,4053.9335983333335,0.13304539596156326
2023-05-12,000300.SH,3937.7622,3987.769,3999.3831,3937.5274,3990.6637,-52.9015,-1.3256,144421728.0,228992923.388,-0.013256316236319288,-0.013344965509902268,4003.1666400000004,4041.2414450000006,4050.503401666667,0.1395527890098597
2023-05-15,000300.SH,3998.8872,3938.83,3998.8872,3923.0317,3937.7622,61.125,1.5523,176257362.0,279531163.508,0.015522775854773574,0.015403530004197431,3990.4116000000004,4036.3214250000005,4048.0633516666667,0.15278271787321523
